,Article Headline,Article Content
10,[Sen. Markey Insists On Full Funding For CHIP Program],"[Massachusetts Sen. Ed Markey says he’s going to continue to fight for CHIP, a program that provides health insurance for young children and pregnant women from low-income backgrounds., “We are not going to accept anything less than full funding for the CHIP program,” said Markey on Boston Public Radio today., Federal subsidy for the Children's Health Insurance Program is predicted to run out at the end of January. The provision that extended funding expired at the end of September amid partisan disagreements about how to pay for the program, which costs the federal government $1.5 billion a year., Markey says more than 100,000 children in the Bay State benefit from CHIP program, and he said he’ll fight for its existence as a possible government shutdown looms., “There is going to be a showdown of massive dimensions if [other lawmakers] seek to end or significantly curtail that program,” said Markey., A resolution could be pushed to mid-January, but some states have already announced to CHIP beneficiaries that they should prepare to lose coverage., Sen. Ed Markey is a national leader on energy, environment, climate, telecom, and a voice for consumer protection. He tweets from @senmarkey. To hear his interview in its entirety, click on the audio player above., Molly Boigon is a former associate producer and reporter for Learning Curve, WGBH’s K-12 education desk. She has also worked for Boston Public Radio and WGBH’s higher education desk, On Campus. Her interests include jazz, yoga and public records requests. Before joining WGBH, she worked at SiriusXM, WZBC and WAAF. She has a degree in Applied Psychology and Human Development from Boston College’s Lynch School of Education.]"
11,[AG Healey: Victims Came Forward To Spark Hefner Investigation],"[Attorney General Maura Healey told WGBH News victims have come forward, sparking an investigation into allegations of sexual misconduct against Senate President Stan Rosenberg’s husband Bryon Hefner., Healey and Suffolk County district attorney Dan Conley said they were prepared to launch a joint investigation of Rosenberg's husband Brian Hefner if they heard from any of his alleged victims. And now, Healey says, they have., “We have made it clear that we invite victims to come forward,” Healey said in an interview with Boston Public Radio Thursday, “and I can confirm that some have.”, Rosenberg has taken a leave of absence after several unnamed men have come forward with allegations against Hefner. A separate federal investigation has also been launched to look into these claims. According to Healey, the two investigations are not connected., “On the issue of sexual harassment ... it’s pervasive, it’s across-industry. A lot of this is about certainly making sure that the right safeguards are in place for victims to come forward, that the right policies and practices are in place to appropriately deal with and investigate and hold accountable wrongdoers,” Healey said. “A lot of this, as I’ve said before — it is about culture and it is about power.”, Anyone wishing to speak with the Attorney General’s victim witness advocate services division should call 617-727-8400 and ask for the victim witness services division., To hear Attorney General Maura Healey’s full interview with Boston Public Radio, click on the audio player above. , Tori Bedford (she/her/hers) is a reporter at WGBH News and produces the All Rev’d Up podcast. Send tips to tori_bedford@wgbh.org.]"
12,[Massachusetts man released on bail 32 years after 1986 murder conviction vacated],"[BROCKTON — Darrell Jones walked out of a courthouse Thursday afternoon after his release on bail more than 30 years after being convicted for a murder he always maintained he didn’t commit. , The 50-year-old man left Brockton Superior Court, where he was found guilty in 1986 by an all-white jury and sentenced to to life without the possibility of parole. , Surrounded by friends and family, he thanked lawyers, family members, and reporters who investigated his case. He said he plans to fight for justice for others and prison rights. , “I stayed in prison a long time. It was hard to get people to hear you,’’ he said. “There is somebody else back in that jail that nobody is listening to that is probably innocent. , Jones was out of prison on $5,000 bail after Superior Court Judge Robert Cosgrove made the decision to release him on the original bail required when the then-18-year-old was first charged in the 1985 murder of alleged Cuban drug dealer Guillermo Rodriguez. , The hearing came days after a different Superior Court judge, Thomas F. McGuire Jr, vacated his conviction, ruling that the case was tainted by racial bias and misconduct. Jones is planning to move in with a Jesuit priest – whom he calls “Dad” -- who has been serving as a friend and mentor for more than a decade. , “This is absolutely spectacular,’’ said Rev. William Barry who has secured a place, free of charge, in his religious retreat in a Boston suburb for Jones to live in for a year. , The Plymouth County District Attorney’s office opposed Jones’s release claiming it still had a strong case to either appeal McGuire’s decision or re-prosecute the case. , But Jones’s attorney, Lisa Kavanaugh, argued that her client is not a flight risk because he wants to stick around to prove his innocence -- and he has a “strong likelihood of winning.” , She also argued that Jones has “an extraordinary amount of support” including Barry, a pro-bono therapist he has been talking to for years, as well as family. , Jones filed a motion to re-open his case in 2015 based on allegations that police tampered with a videotaped interview of a key witness shown at his trial to remove exculpatory evidence. He claimed the tape was key to his conviction because none of the eyewitnesses testified in court that they were sure Jones was the shooter. , Allegations of racial bias in the court were raised in a 2016 
investigation by the the New England Center for Investigative Reporting and WBUR public radio. Juror Eleanor Urbati, a white Hingham resident who said she always regretted convicting Jones, told NECIR that two jurors had told her they thought the defendant was guilty because he was black. , McGuire, who now presides in Bristol County Superior Court, ruled on Jones’s motion because he was seated in Plymouth when the motion was first filed. He wrote that he first learned of allegations of racial bias when someone flagged the 2016 investigation and then requested Urbati and other jurors to detail what had occurred. The hearing came months after a US Supreme Court ruling that a trial judge must pry into typically secret discussions if there is evidence of racial bias. , Urbati, reached at home Thursday, said she was thrilled to hear about Jones’s release. “I’m very happy for him,’’ she said. “I told the truth.” , Jones’s sister, Classie Howard, 53, who flew in from Texas for the last-minute hearing, said she could hardly believe her brother was finally walking out of the same courthouse he was convicted in. She said she was thrilled about his release but angry about the pain her family suffered. “It started here and it ended here,’’ she said. , Jones spoke for a few minutes but was eager to get in a waiting car and leave Brockton., “Keep the car warmed,” he said. “I want to get out of here.” , This story was co-published with the Boston Globe.
, Jenifer B. McKim is a senior investigative reporter at the New England Center for Investigative Reporting at WGBH News. She focuses on social justice issues, including criminal justice, child welfare, sex trafficking and personal debt for print, digital and broadcast. ]"
13,"[Think Twice About Giving A DNA Kit As A Gift This Christmas, Medical Ethicist Says]","[Companies that make take-home genetic tests — like 23andMe — are spending a lot of money on advertising to make their product seem like the perfect holiday gift., But medical ethicist Arthur Caplan says opening that package under the tree could be like opening Pandora's Box., One concern is privacy: Forbes reported in February that many popular genetic testing companies sell their data to outside companies. 23andMe, for example, has sold information to at least 13 pharmaceutical firms, the article says., ""You don't know what they're going to do with it in terms of resale or giving it to another company. You don't know how good their labs are or how good their privacy protection is,"" Caplan said., ""It's like saying: 'Here's my credit card, I'd like to learn more about the amazing world of finance. Let's all bond together as we compare our credit card scores,'"" he continued., There's also the possibility that the test may reveal information you may not necessarily want to know. , , ""There's all kinds of things that could come in on these tests,"" Caplan said. ""You could find out about paternity or incest or all kinds of things I don't think I want to be sharing around the old Yule Log."" , There have also been cases when people have found out from genetic tests that they have genes associated with risk of disease — like the BRCA 1 and 2 genes, which are associated with breast and ovarian cancer — and have been denied for life insurance as a result., ""You find out you have a pre-existing condition [and] you can't get life insurance, you can't get disability insurance,"" Caplan said., Click the audio player above to hear more from Art Caplan., Amanda McGowan is a producer for Boston Public Radio. ]"
14,[FULL SHOW: The Life &amp; Crimes Of Cardinal Bernard Law],"[Cardinal Bernard Law, who became an emblem of the Catholic clergy abuse scandal in Boston, died Wednesday morning at age 86. He was propelled to notoriety when it was revealed that he and other clergymen in the archdiocese of Boston covered up decades of accusations of child sexual abuse. In December 2002, Law resigned as the archbishop of Boston and, in 2004, moved to Rome where he was appointed the archpriest at Basilica of St. Mary Major by Pope John Paul II. He resigned from that position in 2011., Coverage from the GBH Newsroom.]"
15,[Mayor Walsh Says Cardinal Law's Death Forces Victims To Relive Their Pain],"[Boston Mayor Marty Walsh says the death of Cardinal Bernard Law makes for a sad day for victims of clergy sex abuse. The mayor spoke with reporters hours after learning that Law had died in Rome, Italy. He says his first thought when he heard Cardinal Law had died was of the abuse victims and how Law’s death will force them to relive their pain. ""My heart went out to the survivors, because I don't think they ever forgot what happened, but his passing, probably just resurfaced a lot of bad feelings,"" Walsh said. They mayor also said the good Law did as archbishop is overshadowed by what he failed to do — protect children from sexual predators within the church. , To listen to the interview in its entirety, click on the audio player above., Marilyn Schairer is a reporter and producer for WGBH News.]"
16,"[15 Years After Sex Abuse Scandal, Has The Catholic Church's Track Record Improved?]","[It's been 15 years since the legacy of former Boston archbishop Cardinal Bernard Law, who died Wednesday morning at the age of 86, was tainted by the Catholic Church abuse scandal. In that time, understanding of sexual misconduct and procedures for reporting sexual abuse have evolved — both within religious spheres and beyond. Attorney Mitchell Garabedian, former state attorney general and district attorney Martha Coakley, and Boston Public Radio co-host Margery Eagan joined Greater Boston Wednesday to discuss whether this understanding has evolved enough to prevent incidents like those detailed in 2002 scandal. , Law went from being a beloved, devoted member of the Catholic Church to an emblem of the scandal after it was revealed that he and other clergymen in the city's archdiocese covered up decades of accusations of child sexual abuse. In December 2002, Law resigned as the archbishop of Boston. He moved to Rome, where he was appointed the archpriest at Basilica of St. Mary Major by Pope John Paul II in 2004. He left that position in 2011., Garabedian, who has represented hundreds of victims of clergy sexual abuse, was on the fence about whether the laws or societal views surrounding church abuse have improved since the scandal. , “In Massachusetts, they're getting better. Across the country, they're not. You often hear opponents of victims speak out saying, 'That person should not be speaking out. They should try this case in court.' But they can't try the case in court because the statute of limitations has run,"" Garabedian said. ""The church isn't going to change. They've been doing this for centuries. They've been raping kids at a wholesale pace for centuries. You can't keep track of the church, it's a trillion-dollar business. What is changing is society's attitude of 'I better watch my child when that child is around a priest,' or in Hollywood or in anywhere else. That's what's changing.”, , Coakley, who successfully prosecuted former priests John Geoghan and Paul Shanley for abuse-related crimes, believes reporting laws are stronger now., ""The church has to report,” she said. “I think DAs offices have specialized child abuse units that have gotten better at this, and I think the power of the church has also changed — that they no longer have the ability to enable, to hide, to move priests around. That's the biggest change, and that's the important thing. We see this now in other cases where predators are supported in their movie careers and politics. That is all crumbling, but some of this started with this — not letting authority get away with enabling predators.”, “I think what's changed is attitudes,” added Eagan. “We’ve seen the priests. Now we're seeing this 'Me Too' moment, and I think there's a change in attitudes. I think we believe victims a lot more than we used to.”, Garabedian, though, was still not convinced., “Right now, in my office, I have over 500 Catholic clergy sex abuse cases,” he said. “I'm fighting tooth and nail with law firms. I'm fighting tooth and nail with churches. I'm fighting with religious orders or diocese or archdiocese saying, 'You're not going to touch us. Don't bother us' … The public has been more aware of the need to protect children. That's the success. The church has circled the wagon tighter than ever.”, He also criticized the Catholic Church's decision to give Law a full cardinal's funeral, complete with a final blessing from the Pope., “It’s a slap in the face. It's insulting,"" he said. ""And if these criminals weren't hiding behind a cloak of religion, maybe they'd be in jail."", Click the video player above to watch the entire interview., Coverage from the GBH Newsroom.]"
17,"[For Many Catholics And Former Catholics, The Legacy Of Cardinal Law Tested Faith In The Church]","[For many Roman Catholics in Boston, the death Wednesday of Cardinal Bernard Law brings to mind a painful chapter in the history of the church, and an experience that tried their faith in the institution. , It’s difficult to overestimate the significance Cardinal Bernard Law once held as the charismatic leader of what was probably Boston’s most important institution at the time — the Catholic Archdiocese. But for many today — Catholics, non-Catholics, and perhaps most of all, former Catholics — he’s remembered primarily as an enabler of child sexual abuse, who oversaw the relocation of pedophile priests from parish to parish., “Cardinal Law was the scapegoat of the hierarchy,"" said James Carroll, a former priest and author of many books, including his upcoming novel “The Cloister.” ""But he was also its hero, because, after all, he had only done what all bishops were doing and what the Vatican itself had instructed bishops to do.”, And that understanding — that in Boston, not only were children victimized by priests, but that the church hierarchy, with Cardinal Law at the helm, allowed it to happen — continues to test the faith of many Catholics: not necessarily their faith in the religion, but in the institution of the church. Carroll says many decided just to leave., “And then of course those of us who remain Catholics — I'm a churchgoing Catholic myself — still carry this deep, deep wound, not only of the scandal of the decades-long abuse of children by priests, but at the church's ongoing failure to recognize to reckon with what was laid bare in that scandal,” Carroll said., Some who remained in the church banded together to found Voice of the Faithful, an organization devoted to supporting the victims of abuse and to help direct change within the church that prevents this sort of thing in the future. Donna Doucette, the group’s executive director, said at first, their plan was to help Cardinal Law in addressing the harm that was done., “It quickly became obvious that Cardinal Law wasn't interested in help from anybody, especially from laypeople,” Doucette said. She said Voice of the Faithful continues to try to help victims of abuse to heal, in a way she says the church still hasn’t. “The effort in the church appears to begin from the premise that we have to bring everybody back to the church if they left and then they'll all be healed. No. Some people are not going to come back to the church. But that does not eliminate your need to offer whatever pathways towards healing that you can.”   , Although many did leave the church, some Catholics, like Tiziana Dearing, decided to become more engaged. Dearing, who’s now a professor at Boston College, became the president of Catholic Charities, an independent nonprofit within the Archdiocese of Boston. And she says they didn’t actually see donations go down as many left the church., “I would argue that there were probably some donors, and I heard from some of these donors when I was running Catholic Charities, who in fact took the money that they might have given to their parish in the past, and, in fact, put it into Catholic social justice work like a Catholic Charities or a Catholic Relief Services instead,” Dearing said., Dearing said nothing that happened in the clergy sex abuse scandal changes the fact that the faithful are called to help the victimized, the poor and the marginalized., One parish that’s trying to do that ultimately wound up founding an entirely new church. St. Frances Xavier Cabrini Church was among dozens the archdiocese said in the 2004 that they were closing to address their debt. The archdiocese doesn't acknowledge that the sale is related to the scandal, but settlements in those cases led to financial problems. Jon Rogers, a spokesperson for the group of parishioners, says several of the abusive priests were part of the church at some point, and there were victims among church members., “It really is upsetting to look back and say, 'OK, you know, this community was damaged by these people. And now on top of that they destroyed our church because they had to pay off the coffers that were depleted by the sexual abuse crisis,'” Rogers said., The parishioners of St. Frances refused to leave, staging a 24-hour vigil in the church that wound up lasting 11 years, before they exhausted their legal challenges and were evicted., Now, they meet weekly at a rented Freemasons hall. Rogers says while he’s still a Catholic, he’s no longer a Roman Catholic. He blames that, in large part, on Cardinal Bernard Law., Craig produces sound­-rich features and breaking news coverage for WGBH News. ]"
18,"[Survivor, Local Journalists Speak On Cardinal Law's Death]","[“I decided to wear my mourning suit today,” said Phil Saviano, an abuse survivor and founder of the New England chapter of Survivors Network of Those Abused by Priests (SNAP) when he joined Jim Braude on Greater Boston to discuss the death of Cardinal Bernard Law., “Not in recognition of the departure of Cardinal Law, but out of respect for the thousands of clergy abuse survivors who are so traumatized by their childhood experiences that they grew up to die of drug overdoses and alcoholism and suicide. Those people and their families are where my thoughts are today,"" he said. , Law, who became an emblem of the Catholic clergy abuse scandal in Boston, died Wednesday morning at age 86. He was propelled to notoriety when it was revealed that he and other clergymen in the archdiocese of Boston covered up decades of accusations of child sexual abuse. In December 2002, Law resigned as the archbishop of Boston and, in 2004, moved to Rome where he was appointed the archpriest at Basilica of St. Mary Major by Pope John Paul II. He resigned from that position in 2011., “It's easy to forget, 15 years later, that at that time, the Catholic Church was the most powerful institution in the city of Boston,” said Michael Rezendes, who was on The Boston Globe Spotlight team that helped expose the abuse to the world. “Boston was the most Catholic city in America and it was a city of devout tribal Catholics. Law was a very powerful man in Boston, across the United States and at the Vatican.”, “It just struck me that he went on to a life of luxury and prominence in the Vatican,” said Boston Public Radio co-host Margery Eagan, recalling a recent tour she went on of Rome and the Vatican, during which her bus went by the Basilica of St. Mary. “It just was realizing how the salt was rubbed into the wounds.”, “In addition to living a pretty nice life, Cardinal Law also maintained a lot of influence and a lot of power at the Vatican,” Rezendes pointed out. “I think Cardinal Law saw his job as protecting the church from scandal. Cardinal Law saw his job as protecting the institution and he forgot about the people the institution was supposed to serve.”, “I always like to think if there had been a few women in those rectors we wouldn't have the problems that we’ve ended up with,” said Saviano., As for the announcement that Law will receive a full cardinal’s funeral, complete with a final blessing from the Pope — all three were displeased., “I think it's disgusting and I think it's a slap in the face to survivors,” said Saviano. “And I wonder just what is the message that he's sending with this sumptuous going away party.”, Coverage from the GBH Newsroom.]"
19,[Town Criers Preserve A Christmas Tradition On Nantucket],"[During the recent Christmas Stroll on Nantucket, throngs of people milled around the intersection of Main and Federal Streets awaiting the arrival of Town Crier Eric Goddard to officially kick off the festivities., Goddard is the latest in a long line of town criers on the island. And he looks every bit the part, with a top hat, bell, and a scarf that was knitted by his mother for this occasion., “This scarf’s probably 10 feet long. And I wear this once a year on Christmas Stroll Saturday,” Goddard said., Goddard became the town crier after assuming the position from his friend and long-time island resident Curtis Barnes, who filled the role for 28 years., These days, the town crier’s role is purely ceremonial. But during the 18th and 19th centuries, town criers played a vital role on Nantucket., “There were no newspapers,” said Barnes. “The town crier would walk around and ring the bell and pass the news whenever something was happening.”, Barnes points out that when Price Harry recently decided to get married, the town crier of London announced it to the population., “There’s a very long tradition going back into Medieval history of the town crier being the person who brought the news and told people when they had to pay their taxes, and they were the walking, living, breathing newspapers of the day.” , Town criers on Nantucket also had an important function during Nantucket’s whaling days., “When the whaling ships would come back after three years in the Pacific Ocean, the town crier would go around and broadcast, ‘Hear ye! The ship is coming in!’ And that would warn everyone and get them ready for their husbands and friends to return,” Barnes explained., Some criers also used long horns, called “trumpets,” to make their voices louder., “The trumpet was to broadcast out. You didn’t have microphones and speakers and stuff, so it was to spread the word. Now some of us don’t need that. I’m pretty loud, and I can be heard,” Barnes said. , By the early 1900s, the town crier’s role had become obsolete, but it was re-instituted in the 1970s with the start of Christmas Stroll., During this year’s stroll, current town crier Eric Goddard led a crowd of children and parents down the cobblestones of Main Street to greet Santa at Straight Wharf., Santa hopped up onto an old fire truck for the festive trip back into town, with Eric Goddard calling out holiday greetings to young and old as he led the crowd., With his bell, top hat and 10-foot long red scarf, he was clearly in his element — performing a function that’s no longer a necessity in people’s lives, but which added a welcome touch of tradition to a Nantucket Christmas.  , ]"
