(b) EIN,(d) Amount of cash grant,(h) Purpose of grant or assistance
74-2553720,"15,000",Operating  Support/Annual Fund
75-3077559,"10,000",Operating  Support/Annual Fund
81-3451795,"25,000",Operating  Support/Annual Fund
38-3669532,"52,000",Operating  Support/Annual Fund
38-3669532,"65,000",Youth  Development
62-0476822,"593,014",Operating  Support/Annual Fund
04-2255502,"15,000",Operating  Support/Annual Fund
45-5191933,"40,000",Economic  Development
74-2472938,"10,000",Operating  Support/Annual Fund
51-0639429,"40,000",Operating  Support/Annual Fund
20-8384273,"25,000",Endowment
22-3021942,"6,500",Operating  Support/Annual Fund
03-0264836,"5,250",Operating  Support/Annual Fund
03-0259051,"7,250",Operating  Support/Annual Fund
59-1867408,"10,000",Operating  Support/Annual Fund
04-3212264,"20,000",Human  Services
46-1396192,"80,000",Operating  Support/Annual Fund
04-2575322,"20,000",Community  Health
04-2575322,"5,000",Housing  and  Shelter
04-2575322,"14,500",Operating  Support/Annual Fund
04-3007211,"66,000",Operating  Support/Annual Fund
04-6004286,"8,000",Operating  Support/Annual Fund
02-0684218,"20,000",Operating  Support/Annual Fund
04-2632219,"19,017",Operating  Support/Annual Fund
82-3523789,"1,000",Human  Services
82-3523789,"7,500",Operating  Support/Annual Fund
04-6139908,"10,000",Operating  Support/Annual Fund
04-2105800,"7,003",Fund
52-2151557,"10,000",Operating  Support/Annual Fund
16-1695266,"25,000",Operating  Support/Annual Fund
13-3234630,"25,000",Immigrant  and  Refugee Support
13-3234630,"25,000",Operating  Support/Annual Fund
45-5081831,"25,000",Operating  Support/Annual Fund
04-2699540,"20,000",Operating  Support/Annual Fund
56-0532138,"200,000",Operating  Support/Annual Fund
57-1193333,"20,000",Operating  Support/Annual Fund
04-2103636,"15,556",Operating  Support/Annual Fund
31-1449932,"6,500",Operating  Support/Annual Fund
04-2103927,"30,000",Operating  Support/Annual Fund
04-2103927,"20,000",Youth  Development
04-3399437,"10,000",Health  Care
54-0505977,"15,000",Operating  Support/Annual Fund
47-4464400,"20,000",Operating  Support/Annual Fund
52-2106206,"6,000",Operating  Support/Annual Fund
43-0653611,"11,000",Operating  Support/Annual Fund
06-1609222,"75,000",Operating  Support/Annual Fund
06-1609222,"10,000",Scholarship
04-6134699,"3,000",Capital  Campaign
04-6134699,"92,896",Operating  Support/Annual Fund
51-0154090,"10,000",Operating  Support/Annual Fund
82-3856484,"10,000",Operating  Support/Annual Fund
27-1049805,"10,000",Operating  Support/Annual Fund
04-2103637,"29,575",Operating  Support/Annual Fund
26-3194155,"6,278",Operating  Support/Annual Fund
04-2312840,"5,278",Operating  Support/Annual Fund
04-2735048,"41,500",Operating  Support/Annual Fund
04-1958460,"5,258",Operating  Support/Annual Fund
06-0646959,"1,000,000",Endowment
06-0646959,"11,000",Operating  Support/Annual Fund
04-2113272,250,Operating  Support/Annual Fund
04-2113272,"15,000",Youth  Development
04-2105825,"146,643",Education
04-2105825,"6,911",Operating  Support/Annual Fund
13-3800068,"50,000",Operating  Support/Annual Fund
84-1113831,"200,000",Operating  Support/Annual Fund
23-7216308,"10,000",Capital  Campaign
23-7216308,"11,500",Operating  Support/Annual Fund
04-2104397,"150,250",Capital  Campaign
04-2104397,"313,704",Operating  Support/Annual Fund
04-2103638,"41,000",Operating  Support/Annual Fund
06-1043412,"40,000",Operating  Support/Annual Fund
53-0167933,"304,250",Operating  Support/Annual Fund
13-3839293,"6,000",Operating  Support/Annual Fund
23-7348228,"10,000",Scholarship
04-2237311,"15,000",Operating  Support/Annual Fund
04-2469268,"30,000",Operating  Support/Annual Fund
04-2476717,"5,250",Operating  Support/Annual Fund
47-3522162,"100,000",Operating  Support/Annual Fund
04-2105842,"52,750",Operating  Support/Annual Fund
13-4167155,"45,000",Operating  Support/Annual Fund
04-3286531,"7,500",Operating  Support/Annual Fund
75-0800699,"35,000",Operating  Support/Annual Fund
13-3164477,"65,000",Operating  Support/Annual Fund
26-3679243,"50,000",Operating  Support/Annual Fund
84-1144973,"30,000",Operating  Support/Annual Fund
22-2840188,"25,000",Operating  Support/Annual Fund
22-2514148,"15,000",Community  Health
22-2514148,"1,000",Emergency  Support
22-2514148,"68,250",Operating  Support/Annual Fund
13-5596836,"55,000",Operating  Support/Annual Fund
38-2008886,"20,000",Operating  Support/Annual Fund
59-3034653,"20,000",Operating  Support/Annual Fund
76-0318261,"30,000",Operating  Support/Annual Fund
82-0897130,"25,000",Operating  Support/Annual Fund
54-0519590,"10,000",Operating  Support/Annual Fund
04-2105850,"94,500",Operating  Support/Annual Fund
04-3005094,"10,000",Operating  Support/Annual Fund
22-3248067,"20,000",Disaster  Relief
33-0669145,"10,000",Operating  Support/Annual Fund
56-2525151,"60,250",Operating  Support/Annual Fund
04-3150786,"20,000",Operating  Support/Annual Fund
22-3036665,"25,000",Arts
22-3036665,"5,750",Operating  Support/Annual Fund
23-6393344,"10,000",Operating  Support/Annual Fund
95-1922279,"11,200",Operating  Support/Annual Fund
95-3202116,"15,000",Economic  Development
95-3202116,"10,000",Emergency  Support
46-0432764,"6,054",Operating  Support/Annual Fund
20-2370934,"20,750",Operating  Support/Annual Fund
26-3409084,"5,400",Operating  Support/Annual Fund
46-1255108,"20,250",Operating  Support/Annual Fund
13-2669134,"200,000",Operating  Support/Annual Fund
82-1755423,"112,000",Operating  Support/Annual Fund
82-1755423,"6,000",Youth  Development
06-0646973,"25,000",Medical  Research
06-0646973,"268,000",Operating  Support/Annual Fund
06-0646973,250,Scholarship
23-7348937,"20,000",Arts
04-3534407,"1,013,000",Operating  Support/Annual Fund
27-1974255,"10,000",Operating  Support/Annual Fund
13-1624225,"200,000",Endowment
04-3357821,"20,000",Capital  Campaign
04-2104913,"20,000",Operating  Support/Annual Fund
22-3117171,"35,000",Operating  Support/Annual Fund
45-3857464,"20,000",Operating  Support/Annual Fund
01-0237912,"11,500",Operating  Support/Annual Fund
04-2103551,"40,000",Human  Services
04-2103551,"17,000",Operating  Support/Annual Fund
04-2103551,"8,000",Youth  Development
64-0939004,"5,000",Education
64-0939004,"53,000",Operating  Support/Annual Fund
94-3143254,"15,000",Operating  Support/Annual Fund
04-2509466,"14,000",Operating  Support/Annual Fund
36-2167032,"50,000",Human  Services
56-2331040,"2,000",Family  Support
56-2331040,"6,000",Youth  Development
20-8034010,"25,000",Operating  Support/Annual Fund
13-2883065,"15,000",Operating  Support/Annual Fund
58-1716970,"50,000",Health  Care
58-1716970,"112,500",Operating  Support/Annual Fund
04-2103548,"75,000",Civic  Engagement
04-2103548,250,Operating  Support/Annual Fund
45-1808601,"84,363",Operating  Support/Annual Fund
04-3132674,"25,000",Arts
04-3132674,"8,800",Operating  Support/Annual Fund
